iteration,latency_seconds
1,0.07380270957946777
2,0.05298566818237305
3,0.05123472213745117
4,0.055933475494384766
5,0.07782649993896484
6,0.05843067169189453
7,0.05312967300415039
8,0.05309104919433594
9,0.05034470558166504
10,0.06567716598510742
11,0.07249331474304199
12,0.07200217247009277
13,0.058472633361816406
14,0.06187081336975098
15,0.05594277381896973
16,0.05887913703918457
17,0.05309271812438965
18,0.05895256996154785
19,0.0610806941986084
20,0.06786465644836426
21,0.06304621696472168
22,0.06976485252380371
23,0.07829523086547852
24,0.05431413650512695
25,0.05874013900756836
26,0.058062076568603516
27,0.05546069145202637
28,0.05849599838256836
29,0.06941366195678711
30,0.06237339973449707
31,0.07441926002502441
32,0.06274819374084473
33,0.053404808044433594
34,0.05644512176513672
35,0.056513071060180664
36,0.05513286590576172
37,0.06429219245910645
38,0.05661273002624512
39,0.07607221603393555
40,0.057462215423583984
41,0.05592918395996094
42,0.056798696517944336
43,0.05077719688415527
44,0.05683326721191406
45,0.0565793514251709
46,0.05321049690246582
47,0.05870175361633301
48,0.06557106971740723
49,0.057396888732910156
50,0.06687760353088379
51,0.06320714950561523
52,0.061200618743896484
53,0.07170343399047852
54,0.0572357177734375
55,0.05498838424682617
56,0.05214858055114746
57,0.0657658576965332
58,0.06598281860351562
59,0.05735588073730469
60,0.05191206932067871
61,0.06316041946411133
62,0.0747675895690918
63,0.06297492980957031
64,0.0591425895690918
65,0.05529165267944336
66,0.050453901290893555
67,0.052205562591552734
68,0.05567359924316406
69,0.06358194351196289
70,0.05992627143859863
71,0.05966043472290039
72,0.05662822723388672
73,0.05732369422912598
74,0.05638241767883301
75,0.0579533576965332
76,0.07236838340759277
77,0.0584568977355957
78,0.05466151237487793
79,0.06055569648742676
80,0.05219531059265137
81,0.060073137283325195
82,0.060169219970703125
83,0.06587386131286621
84,0.06253981590270996
85,0.054107666015625
86,0.05321931838989258
87,0.058443546295166016
88,0.06300806999206543
89,0.06142163276672363
90,0.0538327693939209
91,0.05834150314331055
92,0.05090165138244629
93,0.06192588806152344
94,0.061380624771118164
95,0.05835366249084473
96,0.06774044036865234
97,0.05548834800720215
98,0.06812620162963867
99,0.057564496994018555
100,0.05280733108520508
