iteration,latency_seconds
1,0.06020832061767578
2,0.060887813568115234
3,0.056275367736816406
4,0.06070756912231445
5,0.05831003189086914
6,0.05886435508728027
7,0.05794072151184082
8,0.05236172676086426
9,0.0527949333190918
10,0.08094549179077148
11,0.058356285095214844
12,0.05968761444091797
13,0.05153298377990723
14,0.05939316749572754
15,0.05545639991760254
16,0.05291604995727539
17,0.06459641456604004
18,0.056899070739746094
19,0.05505514144897461
20,0.05910849571228027
21,0.05234384536743164
22,0.06069684028625488
23,0.06036257743835449
24,0.0581815242767334
25,0.06743693351745605
26,0.060787200927734375
27,0.08293032646179199
28,0.0753180980682373
29,0.05687141418457031
30,0.07597756385803223
31,0.053824663162231445
32,0.060251474380493164
33,0.062415122985839844
34,0.08214354515075684
35,0.057247161865234375
36,0.0758509635925293
37,0.0701138973236084
38,0.06803178787231445
39,0.06379032135009766
40,0.07251405715942383
41,0.07649350166320801
42,0.07874846458435059
43,0.05480360984802246
44,0.059044599533081055
45,0.05909276008605957
46,0.05650734901428223
47,0.05614876747131348
48,0.05324149131774902
49,0.05533409118652344
50,0.06130671501159668
51,0.07339644432067871
52,0.07304644584655762
53,0.05332064628601074
54,0.055162906646728516
55,0.05632162094116211
56,0.0552823543548584
57,0.05713295936584473
58,0.05703902244567871
59,0.059800148010253906
60,0.06123518943786621
61,0.06322598457336426
62,0.0565493106842041
63,0.06937408447265625
64,0.053931236267089844
65,0.05335354804992676
66,0.058737993240356445
67,0.061331987380981445
68,0.05364274978637695
69,0.06526756286621094
70,0.059609174728393555
71,0.054013967514038086
72,0.061812639236450195
73,0.05905938148498535
74,0.07748222351074219
75,0.06190061569213867
76,0.054654836654663086
77,0.06006622314453125
78,0.059571266174316406
79,0.05650925636291504
80,0.05260586738586426
81,0.05397391319274902
82,0.05592656135559082
83,0.057478904724121094
84,0.07299304008483887
85,0.06359720230102539
86,0.053278207778930664
87,0.058000802993774414
88,0.05422210693359375
89,0.06104731559753418
90,0.05506539344787598
91,0.05446267127990723
92,0.057866573333740234
93,0.06025528907775879
94,0.060256004333496094
95,0.0539858341217041
96,0.05696678161621094
97,0.058869361877441406
98,0.061858177185058594
99,0.058924198150634766
100,0.06053352355957031
